template,type,kr_url
ega,image,https://kr.sidiz.com/cdn/shop/files/TN601FE_02_e76e84d9-cd32-482a-b64d-0a3e8d2df934.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/TN603FG_01_f6ef4bd1-fe8e-4240-81e0-fc50fe395362.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/TN603FG_02_02bf28f5-7263-4a85-b9ac-e20f98d8be70.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/TN603FY_01_75b3de12-fa6c-44a9-839f-1158de6b4101.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/TN603FY_02_a61e6229-61cd-4bb3-a8d7-d9b4f938a2d6.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/WARRANTY_5.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/shop_pc.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01-1.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01-2.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01-3.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__01.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__02.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__03.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__04.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/FUNGUS_HEAD_a3137f0a-90ea-4f6c-98f3-05d60f1afd67.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/FUNGUS_Head_M.jpg
fungus,image,"https://kr.sidiz.com/cdn/shop/files/FUNGUS_Option1.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_Option1-1.jpg"
fungus,image,"https://kr.sidiz.com/cdn/shop/files/FUNGUS_Option2.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_Option2-1.jpg"
fungus,image,https://kr.sidiz.com/cdn/shop/files/MN130Y_01_0cec7b4b-3be6-473f-a31a-2f1114b90443.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/MN130Y_02_371b5d3c-3830-45cb-af63-f0d334ca098f.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/MN130_01_2843ca20-7cfb-40a2-b67c-0e4ec6c00d89.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/MN130_02_cf77088f-7dc3-4cae-8f27-460812192cd6.jpg
fungus,image,https://kr.sidiz.com/cdn/shop/files/shop_pc.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/BLOCK-EGA-NOTICE.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/Be_the_player.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/Find_your_fit_01.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/Find_your_fit_02.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/GX-1_01744ba6-1e09-47a6-a5ca-377598f694bb.png
gx-work,image,https://kr.sidiz.com/cdn/shop/files/GX_02-1.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/GX_02-2.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/GX_02-3.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/GX_FYF_01.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/GX_FYF_03.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/GX__1-1__01.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/GX__AI__04.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/GX_bef2ce3c-faec-4514-8da5-179075a4775f.png
gx-work,image,https://kr.sidiz.com/cdn/shop/files/Img2_174c8a25-e805-445a-bbd8-b51b8ac873d2.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/Img3_b8ff1387-aa42-408a-ab7e-3e28bf913155.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/WARRANTY_5.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/gx-_1.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/gx-_33.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/home_01_mo.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/home_01_pc.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/pc_1.png
gx-work,poster,https://kr.sidiz.com/cdn/shop/files/preview_images/22d20ad4070a4e0f949e70b370c9212f.thumbnail.0000000000_small.jpg
gx-work,poster,https://kr.sidiz.com/cdn/shop/files/preview_images/237dc7ea071243c397ab4f460c6c69a6.thumbnail.0000000000_small.jpg
gx-work,poster,https://kr.sidiz.com/cdn/shop/files/preview_images/405eee554ab3493da98045bf4065b7f2.thumbnail.0000000000_small.jpg
gx-work,poster,https://kr.sidiz.com/cdn/shop/files/preview_images/9aa80dcca3144d209c4becd8a30fe869.thumbnail.0000000000_small.jpg
gx-work,poster,https://kr.sidiz.com/cdn/shop/files/preview_images/afad8111d62e419381c52160c83dc129.thumbnail.0000000000_small.jpg
gx-work,poster,https://kr.sidiz.com/cdn/shop/files/preview_images/da745b07c0d147b1aed86a9fbe1e2a84.thumbnail.0000000000_small.jpg
gx-work,image,https://kr.sidiz.com/cdn/shop/files/shop.png
gx-work,video,https://kr.sidiz.com/cdn/shop/videos/c/vp/22d20ad4070a4e0f949e70b370c9212f/22d20ad4070a4e0f949e70b370c9212f.HD-1080p-7.2Mbps-50402657.mp4
gx-work,video,https://kr.sidiz.com/cdn/shop/videos/c/vp/237dc7ea071243c397ab4f460c6c69a6/237dc7ea071243c397ab4f460c6c69a6.HD-1080p-7.2Mbps-82736419.mp4
gx-work,video,https://kr.sidiz.com/cdn/shop/videos/c/vp/405eee554ab3493da98045bf4065b7f2/405eee554ab3493da98045bf4065b7f2.HD-1080p-7.2Mbps-82736610.mp4
gx-work,video,https://kr.sidiz.com/cdn/shop/videos/c/vp/9aa80dcca3144d209c4becd8a30fe869/9aa80dcca3144d209c4becd8a30fe869.HD-1080p-7.2Mbps-50402702.mp4
gx-work,video,https://kr.sidiz.com/cdn/shop/videos/c/vp/afad8111d62e419381c52160c83dc129/afad8111d62e419381c52160c83dc129.HD-1080p-7.2Mbps-72835973.mp4
